entidad,municipio,sembrada,cosechada,siniestrada,produccion,rendimiento_udm_ha_,anio,mes
Michoacán,Apatzingán,981.0,644.0,0.0,4423.93,6.87,2020,9
Michoacán,Aquila,5.0,5.0,0.0,9.22,1.84,2020,9
Michoacán,Ario,16226.0,15858.0,0.0,132966.89,8.38,2020,9
Michoacán,Coalcomán de Vázquez Pallares,523.0,478.0,0.0,2900.0,6.07,2020,9
Michoacán,Coeneo,55.0,35.0,0.0,295.0,8.43,2020,9
Michoacán,Copándaro,4.0,4.0,0.0,29.7,7.43,2020,9
Michoacán,Cotija,2544.0,2533.0,0.0,19373.78,7.65,2020,9
Michoacán,Charapan,1780.0,1780.0,0.0,12839.35,7.21,2020,9
Michoacán,Charo,44.0,32.0,0.0,200.0,6.25,2020,9
Michoacán,Chilchota,1331.0,1321.0,0.0,9428.98,7.14,2020,9
Michoacán,Chinicuila,94.0,94.0,0.0,195.93,2.08,2020,9
Michoacán,Erongarícuaro,686.0,642.0,0.0,5955.67,9.28,2020,9
Michoacán,Hidalgo,51.0,51.0,0.0,290.0,5.69,2020,9
Michoacán,Huiramba,218.0,197.0,0.0,1500.34,7.62,2020,9
Michoacán,Indaparapeo,5.0,3.0,0.0,18.0,6.0,2020,9
Michoacán,Irimbo,182.0,138.38,0.0,543.37,3.93,2020,9
Michoacán,Jiménez,560.0,500.0,0.0,4250.0,8.5,2020,9
Michoacán,Jiquilpan,150.0,70.0,0.0,650.0,9.29,2020,9
Michoacán,Juárez,40.0,40.0,0.0,150.93,3.77,2020,9
Michoacán,Jungapeo,23.5,23.5,0.0,183.0,7.79,2020,9
Michoacán,Lagunillas,37.0,26.0,0.0,196.03,7.54,2020,9
Michoacán,Madero,1665.0,1438.0,0.0,12500.0,8.69,2020,9
Michoacán,Maravatío,9.0,9.0,0.0,59.0,6.56,2020,9
Michoacán,Morelia,1369.0,1198.0,0.0,9827.0,8.2,2020,9
Michoacán,Morelos,137.0,92.0,0.0,785.31,8.54,2020,9
